"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"AJAP1" 0.0257828115089915 -0.478749176669385 2.50001706588555 -0.191498363432093 0.848135162606165 NA
"NPHP4" 0.429894488962385 -0.870719991392086 2.98723867660181 -0.291479886830667 0.770684324371504 NA
"KCNAB2" 0.378308829966298 -0.789612183734121 2.88893426643305 -0.273323001118004 0.784604935900756 NA
"CHD5" 0 NA NA NA NA NA
"ENSG00000285629" 0 NA NA NA NA NA
"RPL22" 2.31403044838924 -0.0284997365076122 0.591698482512245 -0.0481659787035576 0.961583963764669 0.979746095294328
"RNF207" 0.0931245740462146 -0.0568994240259558 2.9998689597357 -0.018967303168792 0.984867189006783 NA
"ICMT" 1.84628427892083 0.196965228283847 0.710831967343125 0.277091123265099 0.781710137677742 0.878858213452436
"HES3" 0 NA NA NA NA NA
"GPR153" 0.264164511526708 -0.429070495032279 2.99414332297256 -0.143303258645048 0.886050682369534 NA
"ACOT7" 0.232638762533445 -0.0792225758393896 2.99115961322651 -0.0264855728490977 0.978870040762143 NA
"HES2" 0.155356897098767 -0.746254034597458 3.00043169850757 -0.248715554821211 0.803580815856078 NA
"ESPN" 0.182407024511946 0.458405724326126 2.99502852190035 0.153055545539602 0.878354472255049 NA
"TNFRSF25" 0.281164043201077 -1.19598386400495 2.99993645013428 -0.398669733137652 0.690136572342377 NA
"PLEKHG5" 1.03957809472733 -2.39092098424685 1.3681375496822 -1.74757354244259 0.080537900035293 NA
"NOL9" 1.57364387090659 2.00304070340527 0.936744467596889 2.13830000890621 0.0324924018468212 NA
"TAS1R1" 0.0545241754668802 -0.940125676729243 3.00263083056406 -0.31310065398637 0.754204192253552 NA
"ZBTB48" 0.179165733909044 -0.179191831666339 2.99493702060393 -0.0598315859176914 0.952289768707513 NA
"KLHL21" 1.75180263032196 0.330998194045346 0.735928639753476 0.449769415355577 0.652876713163584 0.800096704015785
"PHF13" 0.511861254613263 -0.240815859153379 1.97107912170938 -0.12217462835512 0.902760719545822 NA
"THAP3" 0.189235681344176 -0.307713225068846 2.99524913112726 -0.102733766574214 0.918174273571695 NA
"DNAJC11" 0.289514947847157 0.559041493293056 2.98906855029363 0.187028662570532 0.851638159968024 NA
"CAMTA1" 0.622238369424209 0.402250107991479 2.03253309817527 0.197905809431887 0.843118758809095 NA
"VAMP3" 1.93232965960771 0.510462543735352 0.701659529308216 0.727507462541882 0.466915145511303 0.663335753425355
"PER3" 1.43652633646459 -0.668604411185411 0.920223965675248 -0.726567049027893 0.467491219860807 NA
"UTS2" 0.0356311811859809 -0.488487330028415 2.88880408550196 -0.169096731924461 0.865720555461531 NA
"TNFRSF9" 0.0399855591139266 -0.542342308107782 3.00088858893574 -0.180727238627717 0.856581677500736 NA
"PARK7" 1.58285406588341 -0.335752471328429 0.853141367806901 -0.393548459842616 0.693914439537959 NA
"ERRFI1" 3.61467384003438 -0.315606116440039 0.477588789519496 -0.660832338124125 0.508719841735925 0.6944240388832
"SLC45A1" 0 NA NA NA NA NA
"RERE" 4.60026980592651 -0.27509702507567 0.386606003830519 -0.711569459216851 0.476731424690454 0.672177463757644
"ENO1" 4.90095998352831 -0.00409535917462086 0.374460159674643 -0.0109367019930216 0.991273948289963 0.994702192617598
"CA6" 0 NA NA NA NA NA
"SLC2A7" 0 NA NA NA NA NA
"SLC2A5" 0.185933192322183 -1.19294428680847 2.99488232102479 -0.398327599863846 0.690388718371493 NA
"GPR157" 0.584591199389296 -0.409565343764957 2.0792380402003 -0.1969785738075 0.84384430491162 NA
"H6PD" 2.44058568535214 0.435870783409668 0.593160575127743 0.734827636371145 0.462444473701131 0.66128897138271
"SPSB1" 0.679296916601453 -0.595365131819275 2.11757750933432 -0.281153879465991 0.778592377231742 NA
